,sentiment,sp500_open,sp500_high,sp500_low,sp500_close,sp500_avg_close,sp500_avg_volume,sp500_monthly_return,sp500_intra_volatility,sentiment_z,sp500_close_z,sentiment_pct_change,rolling_corr_12m
1986-01,95.6,211.28,214.57,202.6,211.78,208.1941,130864090.9091,0.2367,5.9082,0.8404,-0.8179,1.8104,0.1314
1986-02,95.9,211.78,227.92,210.82,226.92,219.3653,152584210.5263,7.1489,8.1112,0.8618,-0.808,0.3138,0.3503
1986-03,95.1,226.92,240.11,222.18,238.9,232.327,160730000.0,5.2794,8.07,0.8046,-0.8002,-0.8342,0.4298
1986-04,96.2,238.9,245.47,226.3,235.52,237.9677,147290909.0909,-1.4148,8.4711,0.8833,-0.8024,1.1567,0.593
1986-05,94.8,235.52,249.19,232.26,247.35,238.459,127630476.1905,5.0229,7.2892,0.7831,-0.7947,-1.4553,0.547
1986-06,99.3,246.04,251.81,238.23,250.84,245.2957,126171428.5714,1.411,5.7004,1.1053,-0.7924,4.7468,0.7723
1986-07,97.7,250.67,253.2,233.07,236.12,240.18,137722727.2727,-5.8683,8.6369,0.9907,-0.802,-1.6113,0.8183
1986-08,94.9,236.12,254.24,231.92,252.93,245.001,128661904.7619,7.1193,9.624,0.7902,-0.791,-2.8659,0.7703
1986-09,91.9,252.93,254.13,228.08,231.32,238.269,150776190.4762,-8.5439,11.4214,0.5754,-0.8052,-3.1612,0.7288
1986-10,95.6,231.32,244.51,231.32,243.98,237.3561,131162608.6957,5.4729,5.7021,0.8404,-0.7969,4.0261,0.5573
1986-11,91.4,243.97,249.22,235.51,249.22,245.0926,154780526.3158,2.1477,5.8214,0.5396,-0.7935,-4.3933,0.1046
1986-12,89.1,249.22,254.87,241.28,242.17,248.6055,148221363.6364,-2.8288,5.6325,0.3749,-0.7981,-2.5164,-0.0562
1987-01,90.4,242.17,280.96,242.17,274.08,264.511,192422857.1429,13.1767,16.0177,0.468,-0.7772,1.459,-0.303
1987-02,90.2,274.08,287.55,273.16,284.2,280.9342,183436842.1053,3.6924,5.268,0.4537,-0.7706,-0.2212,-0.4278
1987-03,90.8,284.17,302.72,282.3,291.7,292.4714,180231818.1818,2.639,7.2334,0.4966,-0.7657,0.6652,-0.4755
1987-04,92.8,291.59,303.65,275.67,288.36,289.3219,187223809.5238,-1.145,10.1498,0.6399,-0.7679,2.2026,-0.4061
1987-05,91.1,286.99,298.69,277.01,290.1,289.1155,170885000.0,0.6034,7.8264,0.5181,-0.7668,-1.8319,-0.4249
1987-06,91.5,290.12,310.27,286.93,304.0,301.3841,163409090.9091,4.7914,8.1344,0.5468,-0.7577,0.4391,-0.4256
1987-07,93.7,303.99,318.85,302.53,318.66,310.0873,180290909.0909,4.8224,5.3945,0.7043,-0.7481,2.4044,-0.0675
1987-08,94.4,318.62,337.89,314.51,329.8,329.3581,193447619.0476,3.4959,7.4338,0.7544,-0.7408,0.7471,0.2456
1987-09,93.6,329.81,332.18,308.56,321.83,318.661,177295238.0952,-2.4166,7.6549,0.6971,-0.746,-0.8475,0.3434
1987-10,89.3,321.83,328.94,216.46,251.79,280.1641,277022727.2727,-21.763,51.9634,0.3892,-0.7918,-4.594,0.847
1987-11,83.1,251.73,257.21,225.75,230.3,245.0085,179476500.0,-8.5349,13.9358,-0.0547,-0.8058,-6.9429,0.895
